sgx,sgy,sgz
-140.625,-70.3125,156.25
-140.625,-62.5,156.25
-140.625,-54.6875,156.25
-140.625,-46.875,148.4375
-132.8125,-85.9375,164.0625
-132.8125,-78.125,164.0625
-132.8125,-70.3125,156.25
-132.8125,-62.5,156.25
-132.8125,-54.6875,148.4375
-132.8125,-54.6875,156.25
-132.8125,-46.875,148.4375
-132.8125,-46.875,156.25
-132.8125,-39.0625,148.4375
-132.8125,-31.25,140.625
-125.0,-93.75,164.0625
-125.0,-85.9375,164.0625
-125.0,-78.125,164.0625
-125.0,-70.3125,156.25
-125.0,-70.3125,164.0625
-125.0,-62.5,156.25
-125.0,-62.5,164.0625
-125.0,-54.6875,148.4375
-125.0,-54.6875,156.25
-125.0,-46.875,148.4375
-125.0,-46.875,156.25
-125.0,-39.0625,140.625
-125.0,-39.0625,148.4375
-125.0,-39.0625,156.25
-125.0,-31.25,132.8125
-125.0,-31.25,140.625
-125.0,-31.25,148.4375
-125.0,-23.4375,132.8125
-125.0,-23.4375,140.625
-117.1875,-101.5625,164.0625
-117.1875,-93.75,164.0625
-117.1875,-85.9375,164.0625
-117.1875,-78.125,156.25
-117.1875,-78.125,164.0625
-117.1875,-70.3125,156.25
-117.1875,-70.3125,164.0625
-117.1875,-62.5,148.4375
-117.1875,-62.5,156.25
-117.1875,-62.5,164.0625
-117.1875,-54.6875,148.4375
-117.1875,-54.6875,156.25
-117.1875,-54.6875,164.0625
-117.1875,-46.875,140.625
-117.1875,-46.875,148.4375
-117.1875,-46.875,156.25
-117.1875,-46.875,164.0625
-117.1875,-39.0625,132.8125
-117.1875,-39.0625,140.625
-117.1875,-39.0625,148.4375
-117.1875,-39.0625,156.25
-117.1875,-31.25,132.8125
-117.1875,-31.25,140.625
-117.1875,-31.25,148.4375
-117.1875,-31.25,156.25
-117.1875,-23.4375,125.0
-117.1875,-23.4375,132.8125
-117.1875,-23.4375,140.625
-117.1875,-23.4375,148.4375
-117.1875,-15.625,125.0
-117.1875,-15.625,132.8125
-109.375,-109.375,164.0625
-109.375,-101.5625,164.0625
-109.375,-93.75,164.0625
-109.375,-85.9375,164.0625
-109.375,-78.125,156.25
-109.375,-78.125,164.0625
-109.375,-78.125,171.875
-109.375,-70.3125,156.25
-109.375,-70.3125,164.0625
-109.375,-70.3125,171.875
-109.375,-62.5,148.4375
-109.375,-62.5,156.25
-109.375,-62.5,164.0625
-109.375,-54.6875,140.625
-109.375,-54.6875,148.4375
-109.375,-54.6875,156.25
-109.375,-54.6875,164.0625
-109.375,-46.875,132.8125
-109.375,-46.875,140.625
-109.375,-46.875,148.4375
-109.375,-46.875,156.25
-109.375,-46.875,164.0625
-109.375,-39.0625,125.0
-109.375,-39.0625,132.8125
-109.375,-39.0625,140.625
-109.375,-39.0625,148.4375
-109.375,-39.0625,156.25
-109.375,-31.25,125.0
-109.375,-31.25,132.8125
-109.375,-31.25,140.625
-109.375,-31.25,148.4375
-109.375,-31.25,156.25
-109.375,-23.4375,117.1875
-109.375,-23.4375,125.0
-109.375,-23.4375,132.8125
-109.375,-23.4375,140.625
-109.375,-23.4375,148.4375
-109.375,-15.625,109.375
-109.375,-15.625,117.1875
-109.375,-15.625,125.0
-109.375,-15.625,132.8125
-109.375,-15.625,140.625
-109.375,-7.8125,109.375
-109.375,-7.8125,117.1875
-109.375,-7.8125,125.0
-109.375,-7.8125,132.8125
-101.5625,-101.5625,164.0625
-101.5625,-93.75,164.0625
-101.5625,-93.75,171.875
-101.5625,-85.9375,156.25
-101.5625,-85.9375,164.0625
-101.5625,-85.9375,171.875
-101.5625,-78.125,156.25
-101.5625,-78.125,164.0625
-101.5625,-78.125,171.875
-101.5625,-70.3125,148.4375
-101.5625,-70.3125,156.25
-101.5625,-70.3125,164.0625
-101.5625,-70.3125,171.875
-101.5625,-62.5,140.625
-101.5625,-62.5,148.4375
-101.5625,-62.5,156.25
-101.5625,-62.5,164.0625
-101.5625,-62.5,171.875
-101.5625,-54.6875,140.625
-101.5625,-54.6875,148.4375
-101.5625,-54.6875,156.25
-101.5625,-54.6875,164.0625
-101.5625,-54.6875,171.875
-101.5625,-46.875,132.8125
-101.5625,-46.875,140.625
-101.5625,-46.875,148.4375
-101.5625,-46.875,156.25
-101.5625,-46.875,164.0625
-101.5625,-39.0625,117.1875
-101.5625,-39.0625,125.0
-101.5625,-39.0625,132.8125
-101.5625,-39.0625,140.625
-101.5625,-39.0625,148.4375
-101.5625,-39.0625,156.25
-101.5625,-39.0625,164.0625
-101.5625,-31.25,109.375
-101.5625,-31.25,117.1875
-101.5625,-31.25,125.0
-101.5625,-31.25,132.8125
-101.5625,-31.25,140.625
-101.5625,-31.25,148.4375
-101.5625,-31.25,156.25
-101.5625,-23.4375,101.5625
-101.5625,-23.4375,109.375
-101.5625,-23.4375,117.1875
-101.5625,-23.4375,125.0
-101.5625,-23.4375,132.8125
-101.5625,-23.4375,140.625
-101.5625,-23.4375,148.4375
-101.5625,-23.4375,156.25
-101.5625,-15.625,93.75
-101.5625,-15.625,101.5625
-101.5625,-15.625,109.375
-101.5625,-15.625,117.1875
-101.5625,-15.625,125.0
-101.5625,-15.625,132.8125
-101.5625,-15.625,140.625
-101.5625,-15.625,148.4375
-101.5625,-7.8125,85.9375
-101.5625,-7.8125,93.75
-101.5625,-7.8125,101.5625
-101.5625,-7.8125,109.375
-101.5625,-7.8125,117.1875
-101.5625,-7.8125,125.0
-101.5625,-7.8125,132.8125
-101.5625,0.0,85.9375
-101.5625,0.0,93.75
-101.5625,0.0,101.5625
-101.5625,0.0,109.375
-101.5625,0.0,117.1875
-93.75,-117.1875,164.0625
-93.75,-109.375,164.0625
-93.75,-101.5625,164.0625
-93.75,-101.5625,171.875
-93.75,-93.75,164.0625
-93.75,-93.75,171.875
-93.75,-85.9375,156.25
-93.75,-85.9375,164.0625
-93.75,-85.9375,171.875
-93.75,-78.125,148.4375
-93.75,-78.125,156.25
-93.75,-78.125,164.0625
-93.75,-78.125,171.875
