SGX,SGY,SGZ,vx,vy,vz
-7.8125,0.0,-62.5,198.02383422851562,173.4737548828125,-55.5137825012207
0.0,0.0,-62.5,198.02383422851562,173.4737548828125,-55.5137825012207
-7.8125,7.8125,-62.5,198.02383422851562,173.4737548828125,-55.5137825012207
0.0,7.8125,-62.5,198.02383422851562,173.4737548828125,-55.5137825012207
-7.8125,0.0,-54.6875,198.02383422851562,173.4737548828125,-55.5137825012207
0.0,0.0,-54.6875,198.02383422851562,173.4737548828125,-55.5137825012207
-7.8125,7.8125,-54.6875,198.02383422851562,173.4737548828125,-55.5137825012207
7.8125,0.0,-62.5,198.02383422851562,173.4737548828125,-55.5137825012207
7.8125,7.8125,-62.5,198.02383422851562,173.4737548828125,-55.5137825012207
7.8125,0.0,-54.6875,198.02383422851562,173.4737548828125,-55.5137825012207
15.625,0.0,-62.5,101.88204193115234,131.58352661132812,-65.65225982666016
15.625,7.8125,-62.5,101.88204193115234,131.58352661132812,-65.65225982666016
15.625,0.0,-54.6875,101.88204193115234,131.58352661132812,-65.65225982666016
15.625,7.8125,-54.6875,101.88204193115234,131.58352661132812,-65.65225982666016
-7.8125,15.625,-62.5,118.06001281738281,114.44950866699219,-120.93757629394531
0.0,15.625,-62.5,118.06001281738281,114.44950866699219,-120.93757629394531
-7.8125,15.625,-54.6875,118.06001281738281,114.44950866699219,-120.93757629394531
7.8125,15.625,-62.5,118.06001281738281,114.44950866699219,-120.93757629394531
15.625,15.625,-62.5,40.5327262878418,24.79178810119629,-173.97854614257812
15.625,15.625,-54.6875,40.5327262878418,24.79178810119629,-173.97854614257812
-7.8125,23.4375,-62.5,42.1733512878418,193.00804138183594,-249.6928253173828
0.0,23.4375,-62.5,42.1733512878418,193.00804138183594,-249.6928253173828
-7.8125,23.4375,-54.6875,42.1733512878418,193.00804138183594,-249.6928253173828
0.0,23.4375,-54.6875,42.1733512878418,193.00804138183594,-249.6928253173828
7.8125,23.4375,-62.5,42.1733512878418,193.00804138183594,-249.6928253173828
7.8125,23.4375,-54.6875,42.1733512878418,193.00804138183594,-249.6928253173828
15.625,23.4375,-62.5,-29.5899658203125,144.39830017089844,-319.07025146484375
15.625,23.4375,-54.6875,-29.5899658203125,144.39830017089844,-319.07025146484375
-15.625,-15.625,-54.6875,184.8595428466797,231.76113891601562,-176.47169494628906
-7.8125,-15.625,-54.6875,191.3289794921875,298.8945617675781,-107.25827026367188
-15.625,-7.8125,-54.6875,214.57846069335938,211.7772216796875,-109.06075286865234
-7.8125,-7.8125,-54.6875,198.02383422851562,173.4737548828125,-55.5137825012207
-15.625,-15.625,-46.875,222.09536743164062,339.94873046875,-200.64833068847656
-7.8125,-15.625,-46.875,173.79530334472656,394.56903076171875,-260.43255615234375
-15.625,-7.8125,-46.875,260.27313232421875,227.30892944335938,-128.10882568359375
0.0,-15.625,-54.6875,191.3289794921875,298.8945617675781,-107.25827026367188
0.0,-7.8125,-54.6875,198.02383422851562,173.4737548828125,-55.5137825012207
0.0,-15.625,-46.875,173.79530334472656,394.56903076171875,-260.43255615234375
7.8125,-15.625,-54.6875,191.3289794921875,298.8945617675781,-107.25827026367188
7.8125,-7.8125,-54.6875,198.02383422851562,173.4737548828125,-55.5137825012207
7.8125,-15.625,-46.875,173.79530334472656,394.56903076171875,-260.43255615234375
15.625,-15.625,-54.6875,89.66143798828125,356.8794250488281,-74.08767700195312
15.625,-7.8125,-54.6875,101.88204193115234,131.58352661132812,-65.65225982666016
15.625,-15.625,-46.875,86.61670684814453,409.8225402832031,-325.9639587402344
15.625,-7.8125,-46.875,44.55336380004883,101.82118225097656,-292.9285583496094
-23.4375,-7.8125,-54.6875,92.95930480957031,209.2335968017578,-242.6703338623047
-23.4375,0.0,-54.6875,92.95930480957031,209.2335968017578,-242.6703338623047
-15.625,0.0,-54.6875,214.57846069335938,211.7772216796875,-109.06075286865234
-23.4375,-7.8125,-46.875,220.21946716308594,206.54757690429688,-168.87742614746094
-23.4375,0.0,-46.875,220.21946716308594,206.54757690429688,-168.87742614746094
15.625,0.0,-46.875,44.55336380004883,101.82118225097656,-292.9285583496094
-23.4375,7.8125,-54.6875,92.95930480957031,209.2335968017578,-242.6703338623047
-15.625,7.8125,-54.6875,214.57846069335938,211.7772216796875,-109.06075286865234
-23.4375,7.8125,-46.875,220.21946716308594,206.54757690429688,-168.87742614746094
15.625,7.8125,-46.875,44.55336380004883,101.82118225097656,-292.9285583496094
-23.4375,15.625,-54.6875,81.3548355102539,271.5613708496094,-274.6941223144531
-15.625,15.625,-54.6875,153.0404052734375,206.18113708496094,-148.3939971923828
-23.4375,15.625,-46.875,218.43690490722656,176.66070556640625,-233.67047119140625
15.625,15.625,-46.875,-56.08787155151367,-92.44979858398438,-328.2666931152344
-23.4375,23.4375,-54.6875,36.09504318237305,265.7623291015625,-346.4697570800781
-15.625,23.4375,-54.6875,86.53533172607422,231.50698852539062,-252.51893615722656
-23.4375,23.4375,-46.875,154.1990509033203,183.54144287109375,-343.6266784667969
-15.625,23.4375,-46.875,132.83241271972656,127.63472747802734,-266.4689636230469
-7.8125,23.4375,-46.875,-22.040727615356445,87.83959197998047,-290.9366455078125
0.0,23.4375,-46.875,-22.040727615356445,87.83959197998047,-290.9366455078125
7.8125,23.4375,-46.875,-22.040727615356445,87.83959197998047,-290.9366455078125
15.625,23.4375,-46.875,-130.44534301757812,50.6697883605957,-402.1836853027344
-23.4375,-31.25,-46.875,2.2802467346191406,152.85104370117188,-323.6454772949219
-15.625,-31.25,-46.875,129.58645629882812,235.7888946533203,-301.4825744628906
-23.4375,-23.4375,-46.875,2.2802467346191406,152.85104370117188,-323.6454772949219
-15.625,-23.4375,-46.875,129.58645629882812,235.7888946533203,-301.4825744628906
-23.4375,-31.25,-39.0625,25.35774040222168,235.8773956298828,-331.8558349609375
-15.625,-31.25,-39.0625,71.02061462402344,284.3299255371094,-387.5856628417969
-23.4375,-23.4375,-39.0625,25.35774040222168,235.8773956298828,-331.8558349609375
-7.8125,-31.25,-46.875,109.0960922241211,318.7381896972656,-333.3063659667969
-7.8125,-23.4375,-46.875,109.0960922241211,318.7381896972656,-333.3063659667969
-7.8125,-31.25,-39.0625,28.864639282226562,315.5635681152344,-501.24737548828125
0.0,-31.25,-46.875,109.0960922241211,318.7381896972656,-333.3063659667969
0.0,-23.4375,-46.875,109.0960922241211,318.7381896972656,-333.3063659667969
0.0,-31.25,-39.0625,28.864639282226562,315.5635681152344,-501.24737548828125
7.8125,-31.25,-46.875,109.0960922241211,318.7381896972656,-333.3063659667969
7.8125,-23.4375,-46.875,109.0960922241211,318.7381896972656,-333.3063659667969
7.8125,-31.25,-39.0625,28.864639282226562,315.5635681152344,-501.24737548828125
7.8125,-23.4375,-39.0625,28.864639282226562,315.5635681152344,-501.24737548828125
-31.25,-23.4375,-46.875,2.2802467346191406,152.85104370117188,-323.6454772949219
-31.25,-15.625,-46.875,120.04330444335938,231.3353271484375,-219.0177459716797
-23.4375,-15.625,-46.875,120.04330444335938,231.3353271484375,-219.0177459716797
-31.25,-23.4375,-39.0625,25.35774040222168,235.8773956298828,-331.8558349609375
-31.25,-15.625,-39.0625,134.25845336914062,318.0212707519531,-261.21063232421875
7.8125,-15.625,-39.0625,49.993404388427734,470.6106262207031,-496.6966552734375
-39.0625,-15.625,-46.875,120.04330444335938,231.3353271484375,-219.0177459716797
-39.0625,-7.8125,-46.875,220.21946716308594,206.54757690429688,-168.87742614746094
-31.25,-7.8125,-46.875,220.21946716308594,206.54757690429688,-168.87742614746094
-39.0625,-15.625,-39.0625,134.25845336914062,318.0212707519531,-261.21063232421875
-39.0625,-7.8125,-39.0625,254.24905395507812,202.51434326171875,-224.24334716796875
15.625,-15.625,-39.0625,25.927995681762695,443.4751892089844,-618.56689453125
15.625,-7.8125,-39.0625,-63.52379608154297,146.16085815429688,-564.1588745117188
-39.0625,0.0,-46.875,220.21946716308594,206.54757690429688,-168.87742614746094
-31.25,0.0,-46.875,220.21946716308594,206.54757690429688,-168.87742614746094
